Store,Location_Store,Customer_Geo,Customer_Age,Cust_City,Cust_Dist,Cust_State,Customer_Income,Customer_Gender,Customer_Marital_Status,Transaction_Date,Volume,Price,Product_Model,Product_Category,Product_Brand,Product_company,Cust_Ethnic,Occupation,Loan_Amount,Default_Risk,Outstanding,First_replayment_date,Last_repayment_date
AutoZone,Delhi,Karnataka India,40,Nagpur,Chennai,Karnataka,743608,Male,Married,22 January 2023,1,1276663,Magna,Luxury Sedan,I10 GRAND,Hyundai,Caucasian,Business Owner,1112728,0,45569,14 March 2023,06 August 2024
AutoZone,Bangalore,Karnataka India,22,Hyderabad,Chennai,Telangana,2138181,Female,Unmarried,20 September 2023,2,1046351,Sportz,Luxury Sedan,Baleno,Honda,Caucasian,Government Employee,856990,1,234529,01 December 2023,06 March 2026
CarWorld,Pune,West Bengal India,44,Hyderabad,Bangalore Urban,Tamil Nadu,1760249,Male,Unmarried,27 December 2023,2,1302216,Sportz,Entry Hatchback,City,Honda,Hispanic,Retired,891198,0,128356,09 February 2024,29 September 2026
TCS Auto,Bangalore,Maharashtra India,38,Nashik,New Delhi,Maharashtra,2071909,Female,Married,02 December 2024,2,1520134,Sportz,Premium Hatchback,Swift,Honda,Hispanic,Professional,1041634,1,468223,03 January 2025,03 July 2027
AutoZone,Delhi,Telangana India,30,Mumbai,Bangalore Urban,Tamil Nadu,1604144,Male,Married,06 October 2023,1,2135214,SX,SUV,Swift,Maruti,Caucasian,Government Employee,1453846,0,250404,16 November 2023,09 July 2025
DriveEasy,Hyderabad,Telangana India,52,Bangalore,Hyderabad,Maharashtra,2108415,Male,Married,20 March 2024,3,1883634,VX,Compact SUV,Verna,Tata,Native American,Retired,1313019,0,36428,27 April 2024,17 November 2026
AutoZone,Mumbai,West Bengal India,32,Bangalore,Pune,Tamil Nadu,2017726,Female,Unmarried,11 October 2024,3,1535838,Magna,SUV,Verna,Honda,Native American,Self Employed,941021,0,193144,21 December 2024,13 May 2026
CarWorld,Pune,West Bengal India,22,Kolkata,Bangalore Urban,Karnataka,2184111,Female,Married,06 March 2024,2,819160,Sportz,Luxury Sedan,I10 GRAND,Tata,Asian,Self Employed,634210,1,153536,03 May 2024,13 January 2026
AutoZone,Hyderabad,Telangana India,25,Chennai,Chennai,Telangana,2263394,Male,Unmarried,01 January 2023,2,1182117,SX,SUV,Brezza,Maruti,Asian,Self Employed,913525,0,206882,12 February 2023,27 September 2024
TCS Auto,Pune,Karnataka India,52,Pune,Pune,Karnataka,1525907,Female,Unmarried,22 April 2023,3,1362266,SX,Luxury Sedan,City,Maruti,Asian,Retired,857762,0,118156,13 July 2023,20 March 2025
SpeedWheels,Delhi,Karnataka India,47,Nagpur,Pune,Karnataka,1139937,Female,Married,24 September 2024,3,2328915,ZX,Luxury Sedan,Baleno,Hyundai,African,Self Employed,1786153,1,1038843,06 December 2024,23 May 2026
AutoZone,Kolkata,Telangana India,34,Chennai,Mumbai Suburban,Telangana,1055891,Female,Divorced,06 March 2023,3,1391704,Asta,Entry Hatchback,Baleno,Hyundai,Asian,Business Owner,918922,1,505187,28 May 2023,22 August 2024
AutoHub,Hyderabad,Maharashtra India,31,Delhi,Pune,Delhi,1523882,Female,Married,06 June 2024,1,2407492,Sportz,Entry Hatchback,Baleno,Maruti,Asian,Government Employee,1860433,0,391228,05 August 2024,04 May 2026
CarWorld,Bangalore,West Bengal India,48,Delhi,Bangalore Urban,West Bengal,1135722,Female,Married,30 December 2023,2,1089392,ZX,SUV,City,Tata,Asian,Self Employed,830673,1,506302,25 February 2024,25 November 2026
DriveEasy,Hyderabad,Maharashtra India,52,Mumbai,Mumbai Suburban,Maharashtra,515107,Male,Married,25 December 2024,1,1570740,LX,Luxury Sedan,I10 GRAND,Honda,Caucasian,Business Owner,1064509,0,262223,05 March 2025,12 January 2027
CarWorld,Mumbai,Karnataka India,39,Pune,Pune,Maharashtra,939009,Male,Married,01 April 2023,3,722188,Era,Premium Hatchback,Creta,Hyundai,Asian,Retired,489807,1,249518,23 June 2023,27 September 2024
TCS Auto,Delhi,Delhi India,33,Hyderabad,Bangalore Urban,Delhi,1482525,Female,Married,26 March 2023,1,2014139,Asta,SUV,Nexon,Maruti,Native American,Self Employed,1584793,1,346032,25 April 2023,27 December 2024
SpeedWheels,Pune,Telangana India,37,Bangalore,New Delhi,Karnataka,1205092,Male,Unmarried,19 March 2024,1,1517059,Era,SUV,Brezza,Hyundai,Asian,Self Employed,1093090,0,88589,10 May 2024,05 January 2026
SCP,Pune,Karnataka India,49,Nashik,Chennai,Karnataka,1148380,Male,Married,09 January 2023,1,767353,Sportz,Luxury Sedan,City,Hyundai,Asian,Government Employee,665844,1,197043,09 April 2023,12 April 2024
SpeedWheels,Pune,Telangana India,39,Delhi,New Delhi,Tamil Nadu,1603501,Male,Unmarried,02 July 2024,2,598592,Era,SUV,Swift,Maruti,Caucasian,Retired,533193,0,85616,11 September 2024,09 August 2027
SCP,Pune,Karnataka India,45,Mumbai,Mumbai Suburban,Karnataka,2010350,Male,Unmarried,22 January 2024,3,2016067,Magna,Sedan,City,Maruti,Asian,Professional,1803168,1,476333,20 April 2024,08 January 2026
SpeedWheels,Kolkata,Karnataka India,37,Delhi,Hyderabad,Telangana,1351705,Male,Married,17 March 2023,3,1724779,Magna,Compact SUV,Swift,Maruti,African,Business Owner,1109168,0,236988,24 April 2023,09 May 2025
AutoZone,Pune,Tamil Nadu India,34,Delhi,Bangalore Urban,Maharashtra,2023861,Female,Married,13 July 2024,2,1593386,ZX,Entry Hatchback,Nexon,Tata,Asian,Salaried,1363970,0,116800,29 August 2024,04 September 2026
AutoZone,Bangalore,Delhi India,40,Pune,Pune,Delhi,1348079,Male,Unmarried,11 December 2024,2,2239666,Magna,Compact SUV,Brezza,Honda,Asian,Salaried,1429094,0,356596,10 March 2025,06 July 2026
CarWorld,Mumbai,Karnataka India,57,Nagpur,Mumbai Suburban,Delhi,2165503,Male,Married,12 October 2024,3,2353307,Magna,Entry Hatchback,Nexon,Maruti,Native American,Self Employed,1442722,0,236454,03 December 2024,04 August 2026
SCP,Bangalore,Tamil Nadu India,51,Delhi,Chennai,West Bengal,746458,Male,Married,18 February 2024,2,944021,SX,Compact SUV,I10 GRAND,Maruti,Asian,Business Owner,574157,0,86552,22 April 2024,30 September 2026
TCS Auto,Hyderabad,Karnataka India,26,Delhi,Bangalore Urban,Maharashtra,738437,Male,Married,30 January 2023,2,518126,Sportz,Sedan,Brezza,Hyundai,Asian,Government Employee,446734,1,171519,20 March 2023,01 February 2025
SpeedWheels,Mumbai,Tamil Nadu India,32,Kolkata,Bangalore Urban,Delhi,2333735,Female,Unmarried,27 November 2023,3,1695240,SX,SUV,Swift,Hyundai,Asian,Salaried,1054506,0,170259,08 February 2024,21 February 2025
TCS Auto,Bangalore,West Bengal India,46,Mumbai,Hyderabad,West Bengal,1633432,Female,Married,26 September 2023,3,1008729,LX,Entry Hatchback,Brezza,Maruti,Asian,Business Owner,779225,1,373608,30 October 2023,01 January 2025
SCP,Delhi,Tamil Nadu India,47,Hyderabad,Chennai,Karnataka,475290,Female,Unmarried,28 April 2024,1,530283,Asta,SUV,Nexon,Hyundai,Asian,Salaried,410614,0,25145,19 June 2024,08 June 2027
CarWorld,Pune,Delhi India,35,Hyderabad,Chennai,West Bengal,1530202,Male,Unmarried,03 February 2023,1,1123947,Era,SUV,Baleno,Tata,Asian,Professional,910242,0,53421,18 March 2023,12 March 2026
SpeedWheels,Kolkata,Telangana India,31,Kolkata,Hyderabad,Telangana,1025733,Female,Married,29 July 2024,3,1503535,ZX,Sedan,Baleno,Hyundai,Asian,Government Employee,1094245,0,55191,17 October 2024,30 July 2026
TCS Auto,Delhi,Telangana India,46,Mumbai,New Delhi,Karnataka,2416324,Female,Married,09 December 2023,2,2254522,SX,SUV,Verna,Tata,Asian,Salaried,1539522,0,34337,11 January 2024,31 March 2025
CarWorld,Kolkata,Tamil Nadu India,27,Kolkata,Pune,Karnataka,1684025,Male,Unmarried,29 February 2024,3,1264189,Magna,Entry Hatchback,I10 GRAND,Tata,Asian,Business Owner,936428,0,230636,06 April 2024,21 February 2027
DriveEasy,Mumbai,Karnataka India,58,Mumbai,Pune,Maharashtra,1789009,Male,Married,23 December 2023,2,934021,LX,Sedan,Swift,Hyundai,Asian,Retired,716722,0,111877,26 February 2024,03 February 2027
AutoZone,Mumbai,Delhi India,44,Mumbai,Mumbai Suburban,Tamil Nadu,619135,Male,Unmarried,25 January 2023,1,1974832,Asta,Sedan,City,Tata,Asian,Retired,1361884,0,336763,04 March 2023,17 August 2025
SpeedWheels,Chennai,Delhi India,47,Pune,Pune,Delhi,990052,Male,Divorced,16 October 2024,3,1634105,Era,Luxury Sedan,Nexon,Honda,Asian,Government Employee,1085623,0,97087,18 December 2024,16 October 2027
AutoZone,Pune,West Bengal India,43,Nashik,Hyderabad,Tamil Nadu,610348,Male,Divorced,13 October 2024,3,2197685,VX,Compact SUV,Nexon,Hyundai,African,Business Owner,1969076,0,121933,12 November 2024,24 April 2027
DriveEasy,Pune,Delhi India,23,Nashik,Bangalore Urban,Delhi,2114095,Male,Unmarried,17 June 2023,2,1311528,LX,Luxury Sedan,City,Maruti,Caucasian,Business Owner,1031938,1,244778,24 August 2023,02 October 2025
TCS Auto,Mumbai,Karnataka India,38,Chennai,Kolkata,Telangana,2292423,Female,Married,05 March 2024,1,1607108,Era,Entry Hatchback,City,Hyundai,Asian,Self Employed,1103972,0,211341,05 May 2024,11 January 2026
DriveEasy,Chennai,Telangana India,32,Kolkata,Pune,Telangana,1500317,Male,Married,07 March 2023,1,2485826,VX,Luxury Sedan,Swift,Tata,Asian,Self Employed,1973730,0,337199,08 May 2023,18 May 2025
AutoZone,Kolkata,Delhi India,24,Kolkata,Pune,West Bengal,804794,Female,Married,26 November 2024,3,1243344,Magna,SUV,Verna,Maruti,Caucasian,Salaried,963503,1,230988,21 January 2025,29 December 2026
DriveEasy,Kolkata,Telangana India,38,Bangalore,Kolkata,West Bengal,659255,Male,Married,28 May 2023,3,1242353,Magna,Luxury Sedan,Brezza,Hyundai,African,Salaried,803573,1,191917,22 July 2023,10 November 2025
CarWorld,Pune,West Bengal India,41,Mumbai,Pune,West Bengal,960313,Female,Unmarried,17 January 2024,3,1756406,Era,Entry Hatchback,Brezza,Maruti,Native American,Salaried,1225613,0,31790,01 April 2024,25 December 2026
DriveEasy,Pune,Telangana India,43,Delhi,Mumbai Suburban,West Bengal,1239600,Male,Unmarried,15 November 2024,3,1277007,Era,Premium Hatchback,City,Maruti,Native American,Business Owner,768492,1,191177,15 January 2025,17 August 2026
CarWorld,Delhi,Karnataka India,35,Nagpur,Bangalore Urban,Telangana,817323,Male,Married,29 August 2023,1,1813294,LX,Compact SUV,Nexon,Maruti,Asian,Retired,1506299,0,37785,02 October 2023,23 April 2026
AutoZone,Bangalore,Maharashtra India,43,Pune,Chennai,Tamil Nadu,335577,Male,Married,22 March 2023,1,685284,Magna,SUV,I10 GRAND,Maruti,African,Salaried,502004,1,245226,11 June 2023,31 August 2025
SCP,Chennai,Telangana India,45,Nagpur,Chennai,Maharashtra,2036920,Female,Unmarried,04 October 2024,2,2055885,Sportz,Premium Hatchback,Baleno,Hyundai,Asian,Business Owner,1280352,1,462138,15 November 2024,27 March 2027
AutoZone,Hyderabad,Delhi India,34,Mumbai,Bangalore Urban,Karnataka,1113955,Male,Married,28 February 2023,3,556674,Sportz,Entry Hatchback,Brezza,Hyundai,Asian,Professional,399448,1,278735,10 April 2023,18 May 2024
SpeedWheels,Mumbai,West Bengal India,23,Nagpur,New Delhi,Telangana,1304615,Female,Married,15 June 2024,2,2443265,ZX,Luxury Sedan,Creta,Hyundai,Caucasian,Salaried,1515521,1,565087,06 August 2024,20 October 2025
DriveEasy,Bangalore,Karnataka India,43,Mumbai,Pune,Telangana,1934940,Male,Unmarried,01 February 2024,1,1317919,Asta,Sedan,Verna,Maruti,Asian,Salaried,964856,0,236478,16 March 2024,11 May 2025
DriveEasy,Delhi,Karnataka India,35,Kolkata,New Delhi,West Bengal,2399143,Female,Unmarried,04 July 2024,1,1369811,LX,SUV,Brezza,Honda,African,Professional,1172587,0,182540,24 August 2024,12 December 2025
DriveEasy,Mumbai,Karnataka India,57,Bangalore,Pune,Telangana,1448331,Male,Married,10 November 2023,1,993248,Era,Compact SUV,Brezza,Hyundai,African,Self Employed,749629,1,379851,23 January 2024,05 May 2025
DriveEasy,Mumbai,Delhi India,26,Hyderabad,Kolkata,Karnataka,1425864,Female,Unmarried,30 May 2023,2,1417863,ZX,Premium Hatchback,Creta,Maruti,Caucasian,Salaried,888649,0,106570,25 July 2023,20 November 2025
SCP,Delhi,West Bengal India,59,Kolkata,New Delhi,Telangana,926556,Male,Married,02 November 2024,3,2216765,Asta,SUV,Nexon,Maruti,Asian,Government Employee,1657247,1,346274,18 January 2025,22 February 2027
SCP,Hyderabad,Tamil Nadu India,28,Hyderabad,Bangalore Urban,Karnataka,1291102,Female,Married,26 October 2023,2,1366213,Era,Entry Hatchback,Verna,Maruti,Asian,Retired,882081,0,105839,26 December 2023,14 July 2025
TCS Auto,Hyderabad,Karnataka India,31,Chennai,Mumbai Suburban,Tamil Nadu,1365795,Female,Married,03 February 2024,3,735377,Era,Compact SUV,City,Maruti,Caucasian,Professional,521570,1,108076,11 March 2024,28 August 2026
SCP,Pune,Telangana India,43,Nashik,Mumbai Suburban,Karnataka,2030477,Female,Married,13 January 2024,1,1106423,ZX,Sedan,Swift,Hyundai,Native American,Self Employed,914368,0,216682,08 March 2024,22 February 2027
SCP,Hyderabad,Karnataka India,37,Nashik,Chennai,Telangana,1882045,Male,Married,10 May 2023,3,1997115,ZX,SUV,Verna,Hyundai,Caucasian,Self Employed,1702773,0,203593,13 June 2023,06 December 2025
DriveEasy,Kolkata,West Bengal India,48,Bangalore,New Delhi,Telangana,841027,Male,Unmarried,01 July 2024,2,2082575,VX,Compact SUV,Swift,Maruti,Asian,Retired,1286427,1,712336,22 August 2024,01 September 2025
AutoHub,Pune,West Bengal India,63,Kolkata,Chennai,Delhi,2407442,Male,Unmarried,12 December 2023,1,1412066,Magna,Entry Hatchback,Creta,Maruti,Asian,Government Employee,1022269,0,163882,12 February 2024,27 August 2026
AutoHub,Bangalore,Tamil Nadu India,43,Mumbai,Pune,Karnataka,1561752,Male,Married,13 June 2024,3,627112,Magna,Sedan,I10 GRAND,Maruti,Asian,Professional,394317,0,18540,11 September 2024,22 July 2027
SpeedWheels,Hyderabad,Telangana India,37,Pune,Chennai,Telangana,2316875,Male,Married,03 May 2023,1,595197,VX,Sedan,Nexon,Honda,Asian,Salaried,445953,0,13845,26 June 2023,19 January 2025
SpeedWheels,Chennai,Telangana India,25,Delhi,New Delhi,West Bengal,1008129,Female,Married,06 October 2024,2,1283343,SX,Luxury Sedan,City,Maruti,Native American,Professional,1025029,1,693073,11 November 2024,01 November 2026
SCP,Pune,Telangana India,30,Bangalore,New Delhi,Karnataka,2483786,Male,Unmarried,20 June 2023,2,1882038,Sportz,Sedan,Verna,Maruti,Hispanic,Salaried,1487001,1,837447,01 August 2023,03 January 2025
AutoZone,Chennai,Karnataka India,38,Delhi,New Delhi,West Bengal,513845,Female,Unmarried,26 August 2024,3,2436373,Asta,Entry Hatchback,Swift,Honda,Asian,Self Employed,1621541,0,403213,11 October 2024,20 February 2026
AutoZone,Mumbai,Karnataka India,43,Bangalore,Pune,Telangana,1449646,Male,Unmarried,31 January 2024,1,1411093,ZX,Entry Hatchback,I10 GRAND,Tata,Caucasian,Business Owner,1163131,1,254189,06 March 2024,19 February 2027
TCS Auto,Delhi,Telangana India,48,Nashik,Chennai,West Bengal,1160141,Male,Unmarried,18 March 2024,3,2100634,Era,Luxury Sedan,I10 GRAND,Hyundai,Asian,Salaried,1640023,1,394451,31 May 2024,01 January 2027
AutoZone,Bangalore,West Bengal India,62,Delhi,Chennai,Telangana,984848,Male,Divorced,05 March 2023,2,720547,ZX,Sedan,Brezza,Maruti,Caucasian,Salaried,469789,0,68296,11 April 2023,24 September 2024
AutoZone,Pune,Tamil Nadu India,41,Delhi,Kolkata,Maharashtra,831874,Male,Married,20 May 2023,1,748311,Era,Sedan,Brezza,Hyundai,Asian,Government Employee,579557,1,250162,12 July 2023,09 April 2026
SCP,Kolkata,Maharashtra India,64,Kolkata,Hyderabad,West Bengal,406358,Male,Married,10 April 2024,2,2137271,ZX,SUV,Swift,Maruti,Native American,Professional,1923030,1,1121848,21 May 2024,04 January 2027
AutoHub,Bangalore,Telangana India,32,Delhi,Chennai,Delhi,945570,Male,Married,15 November 2024,3,1192434,Magna,Compact SUV,I10 GRAND,Honda,Asian,Self Employed,935654,0,232897,27 December 2024,14 October 2027
DriveEasy,Chennai,Tamil Nadu India,22,Nashik,Kolkata,Maharashtra,2010365,Female,Married,22 January 2023,2,1450365,Sportz,Entry Hatchback,Brezza,Tata,Asian,Retired,1053075,0,244594,26 February 2023,07 February 2026
DriveEasy,Hyderabad,Tamil Nadu India,59,Nashik,Chennai,Telangana,1917833,Female,Married,24 December 2023,1,876492,LX,SUV,I10 GRAND,Hyundai,Hispanic,Business Owner,578370,0,76485,18 March 2024,21 January 2026
TCS Auto,Hyderabad,Tamil Nadu India,44,Nashik,Hyderabad,Maharashtra,2354480,Male,Unmarried,05 April 2024,1,663392,Magna,Luxury Sedan,Creta,Maruti,Asian,Retired,466489,1,160858,09 May 2024,29 January 2026
AutoHub,Delhi,Telangana India,29,Hyderabad,Chennai,Karnataka,313757,Male,Married,29 December 2024,2,1646780,ZX,Sedan,City,Maruti,Caucasian,Business Owner,1349387,0,89189,24 February 2025,29 April 2026
CarWorld,Kolkata,West Bengal India,45,Nashik,Bangalore Urban,Delhi,2041098,Female,Unmarried,15 November 2024,1,965240,Sportz,Compact SUV,Brezza,Maruti,Asian,Self Employed,618379,0,132563,05 February 2025,08 May 2027
TCS Auto,Chennai,Telangana India,29,Bangalore,Bangalore Urban,Karnataka,1447323,Female,Married,06 April 2024,2,1851019,Sportz,SUV,City,Maruti,African,Self Employed,1526621,0,247656,16 June 2024,04 July 2025
SpeedWheels,Bangalore,Maharashtra India,44,Mumbai,Chennai,Telangana,1910316,Male,Married,08 November 2023,2,1067281,Era,Luxury Sedan,Baleno,Maruti,Caucasian,Professional,886853,0,21034,18 January 2024,19 April 2025
DriveEasy,Kolkata,Tamil Nadu India,35,Mumbai,New Delhi,Maharashtra,1436712,Female,Married,15 March 2024,1,1547671,LX,Entry Hatchback,Creta,Honda,Asian,Self Employed,1196011,0,117245,11 June 2024,19 March 2026
CarWorld,Mumbai,Karnataka India,43,Kolkata,Mumbai Suburban,Delhi,1026520,Female,Married,29 January 2023,1,1110367,Asta,Luxury Sedan,Brezza,Maruti,Asian,Self Employed,693677,0,74072,28 March 2023,22 August 2025
TCS Auto,Hyderabad,Delhi India,38,Chennai,Mumbai Suburban,Telangana,981929,Female,Married,12 June 2023,2,1288206,VX,Compact SUV,Verna,Hyundai,Asian,Government Employee,1028058,0,195598,09 September 2023,26 November 2024
TCS Auto,Mumbai,Delhi India,50,Delhi,Bangalore Urban,Telangana,1014491,Female,Married,18 June 2024,1,2232322,Era,Sedan,City,Tata,African,Self Employed,1766455,0,204894,02 September 2024,28 May 2026
AutoZone,Chennai,Tamil Nadu India,29,Mumbai,Pune,Telangana,1997118,Female,Married,29 November 2023,3,588426,Asta,Compact SUV,City,Maruti,Asian,Self Employed,446188,0,93224,25 January 2024,20 March 2026
SCP,Delhi,Delhi India,48,Delhi,Pune,Delhi,398059,Male,Married,13 June 2024,1,2262574,Asta,Compact SUV,Verna,Hyundai,Asian,Retired,1907598,0,462209,11 September 2024,24 July 2027
TCS Auto,Chennai,Delhi India,46,Hyderabad,Hyderabad,Delhi,2298260,Male,Married,11 June 2024,3,1651035,SX,Sedan,Creta,Tata,Asian,Self Employed,1067614,0,23977,08 August 2024,21 June 2027
CarWorld,Pune,Telangana India,31,Hyderabad,Kolkata,Delhi,2417994,Male,Married,23 July 2024,1,1574227,LX,SUV,I10 GRAND,Hyundai,Hispanic,Government Employee,1285139,1,667048,06 October 2024,23 January 2027
TCS Auto,Delhi,Telangana India,47,Nagpur,Bangalore Urban,Karnataka,710675,Male,Married,21 May 2023,2,1548276,VX,Compact SUV,City,Hyundai,Asian,Professional,1261127,1,431509,22 June 2023,02 June 2025
SCP,Delhi,Maharashtra India,32,Hyderabad,New Delhi,Maharashtra,816449,Male,Married,18 December 2023,1,973924,VX,SUV,Brezza,Hyundai,Asian,Retired,784721,0,61019,12 February 2024,16 June 2025
AutoZone,Chennai,Tamil Nadu India,49,Chennai,Pune,Telangana,1723571,Male,Married,27 May 2024,1,2282321,Magna,Premium Hatchback,Creta,Hyundai,Asian,Business Owner,1967475,1,574900,29 June 2024,05 November 2025
SpeedWheels,Delhi,Delhi India,63,Kolkata,Hyderabad,Telangana,1948285,Female,Married,18 April 2023,3,964114,Era,SUV,Swift,Hyundai,Asian,Professional,760001,0,133284,24 May 2023,10 September 2025
TCS Auto,Mumbai,Telangana India,59,Bangalore,New Delhi,Telangana,2316542,Male,Married,12 July 2024,2,1779158,Sportz,SUV,City,Hyundai,Asian,Business Owner,1419079,0,127052,09 October 2024,25 August 2027
AutoHub,Bangalore,Delhi India,30,Delhi,Chennai,Delhi,428856,Male,Married,13 January 2024,2,844727,SX,SUV,City,Maruti,Hispanic,Business Owner,714364,0,92459,02 March 2024,21 July 2025
SpeedWheels,Mumbai,Delhi India,58,Hyderabad,Bangalore Urban,Maharashtra,980523,Female,Unmarried,19 August 2023,2,937585,ZX,SUV,Baleno,Tata,Caucasian,Self Employed,613339,1,215410,17 November 2023,14 August 2026
AutoHub,Delhi,Karnataka India,56,Nashik,Mumbai Suburban,Maharashtra,480950,Male,Unmarried,06 August 2024,2,1378029,SX,Luxury Sedan,Nexon,Maruti,Asian,Business Owner,890385,0,98984,07 October 2024,09 April 2027
AutoHub,Bangalore,West Bengal India,41,Hyderabad,Hyderabad,Tamil Nadu,1607804,Male,Married,15 December 2023,3,1850469,SX,Premium Hatchback,Baleno,Hyundai,Asian,Government Employee,1561526,1,621024,08 February 2024,09 October 2026
AutoZone,Pune,Tamil Nadu India,63,Delhi,Bangalore Urban,Tamil Nadu,935512,Male,Married,06 April 2023,3,2287757,Asta,Luxury Sedan,Nexon,Hyundai,Asian,Salaried,1758774,1,1019232,30 May 2023,19 February 2026
SpeedWheels,Chennai,Telangana India,26,Nagpur,Chennai,Tamil Nadu,2464498,Male,Married,06 October 2023,1,1857137,Magna,Premium Hatchback,Verna,Hyundai,Asian,Retired,1314740,0,318461,28 December 2023,08 November 2025
TCS Auto,Hyderabad,Telangana India,41,Chennai,Pune,Telangana,961127,Male,Married,02 June 2024,3,1353211,Sportz,Compact SUV,Swift,Hyundai,Asian,Salaried,862600,0,40173,25 August 2024,22 February 2027
CarWorld,Delhi,Karnataka India,61,Chennai,Chennai,Telangana,1647243,Male,Unmarried,07 September 2023,2,1306131,Magna,SUV,Verna,Hyundai,Caucasian,Salaried,825408,0,51388,22 November 2023,18 June 2026
AutoHub,Chennai,Telangana India,53,Nagpur,Chennai,Maharashtra,2155461,Male,Unmarried,28 July 2023,1,2171136,Magna,Entry Hatchback,Nexon,Tata,Asian,Professional,1827044,0,330185,17 September 2023,15 August 2025
CarWorld,Hyderabad,Karnataka India,31,Nashik,New Delhi,Telangana,2443963,Male,Married,26 November 2023,3,1707541,VX,Luxury Sedan,Verna,Hyundai,Asian,Self Employed,1068017,0,104957,18 January 2024,10 June 2026
AutoZone,Bangalore,Tamil Nadu India,57,Delhi,New Delhi,Tamil Nadu,2341659,Male,Married,28 September 2023,1,1649036,Magna,Premium Hatchback,I10 GRAND,Honda,Asian,Professional,1114103,1,357389,19 November 2023,27 August 2026
AutoZone,Chennai,Maharashtra India,43,Nagpur,Mumbai Suburban,Delhi,1778951,Male,Unmarried,12 February 2024,3,607027,ZX,SUV,Baleno,Hyundai,African,Self Employed,384552,0,82459,17 March 2024,04 January 2027
TCS Auto,Kolkata,Delhi India,50,Nagpur,Pune,Maharashtra,2452433,Male,Married,14 February 2023,1,844166,LX,Compact SUV,Swift,Tata,Asian,Salaried,538590,0,66346,06 April 2023,15 November 2025
TCS Auto,Hyderabad,Maharashtra India,39,Bangalore,Hyderabad,Telangana,2203805,Male,Married,27 May 2024,3,507520,Sportz,Compact SUV,Nexon,Tata,Asian,Retired,401244,0,100266,03 August 2024,25 May 2026
AutoZone,Delhi,Karnataka India,25,Delhi,Hyderabad,Maharashtra,697691,Male,Unmarried,24 March 2023,2,1935899,ZX,Luxury Sedan,Brezza,Maruti,Asian,Government Employee,1613605,1,1009536,04 May 2023,23 October 2024
CarWorld,Delhi,Delhi India,35,Mumbai,Mumbai Suburban,Maharashtra,1365370,Male,Married,21 July 2023,3,1610940,Sportz,Compact SUV,Swift,Honda,Native American,Business Owner,1252239,0,88314,27 August 2023,17 March 2025
CarWorld,Mumbai,Delhi India,46,Chennai,Mumbai Suburban,Tamil Nadu,362767,Female,Divorced,01 June 2024,1,1202487,Sportz,Compact SUV,Creta,Hyundai,Asian,Professional,1023961,0,199753,02 July 2024,16 February 2026
AutoHub,Kolkata,Tamil Nadu India,55,Hyderabad,New Delhi,Karnataka,1959312,Female,Unmarried,24 July 2023,2,2044543,Asta,Luxury Sedan,Creta,Tata,Asian,Professional,1571813,0,167208,20 September 2023,14 July 2026
DriveEasy,Chennai,Delhi India,54,Hyderabad,Hyderabad,Delhi,2415201,Male,Married,18 January 2023,2,2103219,Era,SUV,Swift,Honda,Asian,Professional,1699784,0,117478,14 March 2023,21 June 2025
SCP,Chennai,Delhi India,36,Mumbai,Mumbai Suburban,Maharashtra,570403,Female,Unmarried,18 July 2023,1,1509100,Era,Sedan,City,Maruti,Asian,Professional,906730,0,53886,18 September 2023,05 August 2025
CarWorld,Mumbai,Karnataka India,36,Delhi,Mumbai Suburban,Telangana,1855018,Female,Married,02 October 2023,1,728091,Asta,SUV,I10 GRAND,Maruti,Native American,Business Owner,603491,0,118268,21 November 2023,01 February 2025
AutoHub,Mumbai,Karnataka India,55,Mumbai,Hyderabad,Karnataka,2494002,Male,Unmarried,01 August 2024,3,1024550,ZX,Entry Hatchback,Swift,Maruti,African,Business Owner,669050,1,455164,02 September 2024,06 December 2025
CarWorld,Hyderabad,Karnataka India,34,Chennai,New Delhi,Telangana,2437198,Male,Married,25 August 2023,2,1120029,SX,Compact SUV,Brezza,Maruti,Asian,Retired,782733,0,160267,15 November 2023,11 March 2026
SpeedWheels,Chennai,Delhi India,48,Mumbai,Chennai,Telangana,1807978,Male,Married,29 March 2023,1,1912624,SX,Compact SUV,Swift,Maruti,African,Professional,1431611,1,445171,11 May 2023,19 January 2025
AutoHub,Bangalore,Tamil Nadu India,54,Nashik,Chennai,Tamil Nadu,1866802,Female,Married,06 September 2024,3,2393822,ZX,Sedan,I10 GRAND,Maruti,Asian,Self Employed,1507810,1,1007768,26 November 2024,25 February 2027
AutoHub,Bangalore,Karnataka India,61,Pune,New Delhi,Delhi,1312875,Female,Married,21 November 2023,2,2120123,Magna,Premium Hatchback,Verna,Hyundai,Asian,Retired,1781513,0,294448,08 January 2024,15 February 2026
CarWorld,Pune,Delhi India,64,Hyderabad,Bangalore Urban,Karnataka,462601,Female,Married,27 March 2023,3,688588,VX,Entry Hatchback,Brezza,Hyundai,Hispanic,Salaried,584887,1,213659,16 May 2023,10 January 2025
TCS Auto,Kolkata,Karnataka India,37,Nashik,Chennai,West Bengal,313408,Male,Married,16 December 2023,1,1113763,ZX,SUV,Creta,Hyundai,Hispanic,Salaried,707779,1,377859,28 February 2024,13 February 2027
